Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,379,,12,28,29,36,42,36,26,25,36,34,23,24,9,10,7,2
BG KWP Bydgoszcz,22,,,1,2,3,1,2,,1,7,2,1,2,,,,
BK KWP Białystok,10,,,1,1,1,1,2,,,4,,,,,,,
GD KWP Gdańsk,18,,,3,2,,3,,2,2,3,1,,,,,1,1
GO KWP Gorzów Wlkp.,14,,,2,1,,2,4,,,,1,,2,1,1,,
KA KWP Katowice,47,,1,5,4,6,5,3,4,1,3,7,2,2,2,1,1,
KI KWP Kielce,17,,,1,2,1,3,1,2,3,1,1,1,,,,1,
KK KWP Kraków,27,,,,1,2,5,5,1,1,1,3,2,2,2,2,,
LD KWP Łódź,35,,1,,3,4,4,2,3,6,4,2,3,3,,,,
LU KWP Lublin,11,,,2,,,1,2,2,,,1,2,1,,,,
OL KWP Olsztyn,14,,1,,,1,2,3,2,3,2,,,,,,,
OP KWP Opole,10,,,1,1,,2,,1,,,,1,1,2,,1,
PO KWP Poznań,31,,,1,3,2,5,2,1,,2,4,5,3,,3,,
RZ KWP Rzeszów,17,,1,1,,3,,2,2,1,1,2,1,2,1,,,
SC KWP Szczecin,17,,,3,3,3,1,1,1,3,1,,,1,,,,
WA KSP Warszawa,31,,1,3,3,4,3,2,3,1,2,2,1,3,,1,1,1
WA KWP Radom,27,,3,1,2,3,3,2,1,1,3,4,1,2,,,1,
WR KWP Wrocław,31,,4,3,1,3,1,3,1,2,2,4,3,,1,2,1,
