Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
09.2020,Razem,415,1,17,30,29,37,35,41,32,37,37,32,30,21,12,13,10,1
09.2020,BG KWP Bydgoszcz,20,,,,1,4,1,4,4,,1,1,1,1,1,,1,
09.2020,BK KWP Białystok,16,,,,,3,,2,2,1,3,1,,3,,1,,
09.2020,GD KWP Gdańsk,32,,,5,2,3,4,2,2,4,4,2,1,2,1,,,
09.2020,GO KWP Gorzów Wlkp.,12,,,1,,2,,1,1,1,2,2,1,1,,,,
09.2020,KA KWP Katowice,36,,2,2,5,1,3,2,2,2,4,3,5,3,1,1,,
09.2020,KI KWP Kielce,15,,,1,2,1,1,2,1,1,,1,2,1,2,,,
09.2020,KK KWP Kraków,40,,2,3,2,3,3,4,5,3,4,2,6,,,2,1,
09.2020,LD KWP Łódź,19,,,1,,3,,,2,4,2,1,2,1,,1,2,
09.2020,LU KWP Lublin,31,,2,2,2,,6,6,1,1,3,2,1,1,1,1,2,
09.2020,OL KWP Olsztyn,14,,,,1,1,1,1,1,1,1,1,2,3,,1,,
09.2020,OP KWP Opole,6,,,,,2,1,1,,,,1,,,,,1,
09.2020,PO KWP Poznań,27,,1,4,,1,2,7,4,2,1,2,1,,,1,1,
09.2020,RZ KWP Rzeszów,30,,1,4,1,5,1,1,,2,2,5,3,2,,1,2,
09.2020,SC KWP Szczecin,19,,2,1,1,1,2,3,1,1,2,3,,,,1,,1
09.2020,WA KSP Warszawa,27,,3,1,2,3,4,2,2,2,2,,1,1,3,1,,
09.2020,WA KWP Radom,42,1,3,4,5,2,4,2,1,7,4,4,,2,2,1,,
09.2020,WR KWP Wrocław,29,,1,1,5,2,2,1,3,5,2,1,4,,1,1,,
