Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,421,,10,31,41,30,44,49,25,32,35,31,30,21,11,14,17,
BG KWP Bydgoszcz,14,,,2,2,1,,1,1,1,2,2,,1,,,1,
BK KWP Białystok,10,,,,2,1,1,2,1,1,,,1,,1,,,
GD KWP Gdańsk,19,,,2,2,,4,4,2,3,1,,,,,,1,
GO KWP Gorzów Wlkp.,16,,,,1,1,1,3,,1,4,1,,1,1,,2,
KA KWP Katowice,49,,1,3,4,3,4,3,3,5,7,3,3,2,1,6,1,
KI KWP Kielce,13,,,,2,1,3,,1,,1,1,2,,1,,1,
KK KWP Kraków,42,,1,2,4,3,7,4,3,3,2,,4,3,,2,4,
LD KWP Łódź,27,,1,3,2,,3,3,4,1,3,1,4,1,,,1,
LU KWP Lublin,25,,1,2,,2,3,6,,1,4,2,2,1,1,,,
OL KWP Olsztyn,13,,,1,2,,1,3,,,,1,3,2,,,,
OP KWP Opole,9,,1,1,,1,2,1,,1,1,,,,,1,,
PO KWP Poznań,36,,2,1,4,1,2,8,1,1,4,4,3,,2,2,1,
RZ KWP Rzeszów,22,,,2,2,3,2,1,2,6,1,1,,2,,,,
SC KWP Szczecin,21,,1,2,2,4,2,1,,,1,2,1,3,1,1,,
WA KSP Warszawa,34,,1,6,2,4,4,2,2,3,,2,2,2,2,1,1,
WA KWP Radom,23,,,,4,2,,2,2,4,1,6,,1,,,1,
WR KWP Wrocław,48,,1,4,6,3,5,5,3,1,3,5,5,2,1,1,3,
