Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
12.2018,Razem,364,,6,25,32,39,36,32,27,28,28,42,18,17,11,8,14,1
12.2018,BG KWP Bydgoszcz,21,,1,1,1,3,2,2,,,3,2,1,,,2,3,
12.2018,BK KWP Białystok,13,,,1,2,2,1,1,2,1,1,1,,1,,,,
12.2018,GD KWP Gdańsk,23,,,,4,3,2,4,3,2,,1,1,1,1,,1,
12.2018,GO KWP Gorzów Wlkp.,9,,,,,3,1,1,,1,1,2,,,,,,
12.2018,KA KWP Katowice,32,,,3,4,1,5,1,2,2,3,5,1,2,2,,1,
12.2018,KI KWP Kielce,14,,,2,1,1,1,,1,1,2,,2,1,,1,1,
12.2018,KK KWP Kraków,33,,,2,2,2,4,3,2,5,3,2,2,4,1,,1,
12.2018,LD KWP Łódź,22,,,2,1,2,1,2,2,1,1,4,1,2,1,1,1,
12.2018,LU KWP Lublin,24,,1,1,4,2,3,3,1,2,1,5,,,1,,,
12.2018,OL KWP Olsztyn,12,,,2,,,1,2,1,,,3,,2,,,1,
12.2018,OP KWP Opole,8,,,,1,4,,,1,,,1,,,1,,,
12.2018,PO KWP Poznań,28,,1,1,3,3,2,3,2,2,4,5,,,,,2,
12.2018,RZ KWP Rzeszów,18,,1,,,4,,,2,3,1,,2,3,2,,,
12.2018,SC KWP Szczecin,15,,1,4,1,,3,,,2,2,1,,1,,,,
12.2018,WA KSP Warszawa,30,,,1,2,4,5,4,3,2,1,4,2,,,1,,1
12.2018,WA KWP Radom,26,,,1,2,2,1,2,4,1,2,4,3,,2,1,1,
12.2018,WR KWP Wrocław,36,,1,4,4,3,4,4,1,3,3,2,3,,,2,2,
