Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,449,,13,38,37,50,39,35,44,27,32,44,43,16,9,13,9,
BG KWP Bydgoszcz,25,,,1,4,3,1,2,1,2,4,1,4,,,2,,
BK KWP Białystok,21,,1,6,1,2,,1,2,1,2,5,,,,,,
GD KWP Gdańsk,29,,2,3,3,2,1,2,2,1,2,5,2,2,,2,,
GO KWP Gorzów Wlkp.,14,,,1,1,,2,1,2,1,,3,1,1,1,,,
KA KWP Katowice,46,,1,3,3,6,2,6,3,2,3,5,4,2,1,4,1,
KI KWP Kielce,12,,,,,2,,2,2,2,1,2,,,1,,,
KK KWP Kraków,47,,,3,6,1,8,6,5,3,3,4,3,2,1,1,1,
LD KWP Łódź,22,,,1,3,2,1,1,3,2,,3,4,1,1,,,
LU KWP Lublin,20,,,2,,2,1,3,4,2,,2,4,,,,,
OL KWP Olsztyn,28,,1,4,1,1,5,1,1,2,6,2,2,,,1,1,
OP KWP Opole,10,,1,1,1,2,1,,2,,,,,,,1,1,
PO KWP Poznań,28,,,2,3,6,1,1,5,1,1,2,5,,,,1,
RZ KWP Rzeszów,18,,1,,2,3,1,2,1,1,1,2,2,2,,,,
SC KWP Szczecin,19,,,3,,,4,,4,2,1,2,1,,,,2,
WA KSP Warszawa,40,,5,3,3,5,5,4,3,,2,,4,3,,2,1,
WA KWP Radom,32,,,2,2,4,2,2,2,3,4,3,3,2,2,,1,
WR KWP Wrocław,38,,1,3,4,9,4,1,2,2,2,3,4,1,2,,,
