Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,415,1,10,29,49,36,41,27,29,31,30,52,30,14,12,11,13,
BG KWP Bydgoszcz,23,,,4,2,3,2,2,1,1,1,2,4,1,,,,
BK KWP Białystok,14,,,,2,1,2,,,3,,1,4,,1,,,
GD KWP Gdańsk,25,,2,2,3,3,4,1,,1,1,6,1,,,1,,
GO KWP Gorzów Wlkp.,19,,,3,2,1,2,1,1,1,3,2,1,,1,1,,
KA KWP Katowice,31,,1,1,4,3,3,,5,4,1,3,3,2,,1,,
KI KWP Kielce,16,,,1,2,1,1,1,1,2,1,3,1,,1,,1,
KK KWP Kraków,36,,,5,3,4,3,3,1,1,3,5,3,1,1,2,1,
LD KWP Łódź,28,,,3,,2,1,2,3,3,5,3,,2,1,,3,
LU KWP Lublin,32,,2,,2,3,5,1,2,7,,6,1,,,2,1,
OL KWP Olsztyn,23,,,,5,2,3,1,,1,2,1,2,2,1,1,2,
OP KWP Opole,8,,,,2,,1,2,1,,1,1,,,,,,
PO KWP Poznań,37,1,1,3,6,4,2,4,2,1,1,4,1,3,2,,2,
RZ KWP Rzeszów,18,,,,4,1,1,1,1,2,1,5,1,,1,,,
SC KWP Szczecin,17,,,,2,,1,1,1,,3,4,2,,1,1,1,
WA KSP Warszawa,26,,2,3,2,4,4,3,3,,1,1,1,1,,1,,
WA KWP Radom,25,,2,1,3,1,2,4,4,2,2,1,1,,1,,1,
WR KWP Wrocław,37,,,3,5,3,4,,3,2,4,4,4,2,1,1,1,
